"id","credit","duration","total","scans","voidedScans","attemptsWoScan","modifiedQuantities","fraud"
152,"High",263,78.53,20,11,4,2,0
153,"High",273,52.99,23,6,6,4,0
154,"Low",96,27.64,7,2,7,0,0
155,"Low",309,70.74,1,2,6,2,0
156,"Low",1711,96.94,5,7,0,3,0
157,"High",774,69.09,11,7,2,3,0
158,"Low",1491,35.54,22,10,5,5,1
159,"High",666,18.96,20,0,8,1,0
160,"High",1771,82.61,4,2,10,3,0
161,"High",1553,63.18,23,3,6,4,0
162,"High",167,53.46,26,2,1,5,0
163,"Low",954,18.65,21,5,7,4,0
164,"Low",1184,34.62,13,10,5,2,0
165,"High",1079,86.54,12,5,6,2,0
166,"Low",188,8.28,22,9,0,1,0
167,"High",441,14.4,4,11,9,1,0
168,"High",630,96.14,28,11,10,1,1
169,"High",654,1.62,16,4,6,3,0
170,"High",661,97.2,13,10,7,5,0
171,"High",630,12.7,25,8,4,4,0
172,"High",960,52.33,8,1,0,0,0
173,"High",221,31.09,27,8,6,3,0
174,"Low",600,55.6,15,6,4,3,0
175,"High",729,48.71,2,10,8,3,0
176,"Low",1464,92.99,5,0,3,2,0
177,"Low",1757,31.79,22,9,5,2,1
178,"Low",327,32.87,6,3,8,3,0
179,"Low",258,43.86,3,0,5,4,0
180,"Low",1432,20.17,18,7,3,4,0
181,"High",808,87,30,7,4,1,0
182,"Low",1061,7.11,26,9,2,2,1
183,"Low",582,7.93,14,4,0,4,0
184,"Low",1338,68.92,23,0,7,3,0
185,"Low",1143,61.14,13,11,0,5,0
186,"Low",357,40.78,2,8,0,1,0
187,"Low",250,15.92,14,6,4,1,0
188,"High",22,7,26,1,0,5,0
189,"Low",352,35.43,1,0,0,1,0
190,"High",1246,98.97,5,9,10,4,0
191,"Low",301,46.84,20,4,5,2,0
192,"Low",813,30.73,3,10,10,4,0
193,"High",964,85.44,28,2,1,4,0
194,"High",122,92.4,22,8,7,0,0
195,"High",428,10.38,17,3,4,1,0
196,"High",257,87.8,5,7,4,0,0
197,"High",156,12.03,25,2,9,1,0
198,"High",509,8.08,6,6,3,2,0
199,"Low",1471,60.42,15,5,1,1,0
200,"High",819,68.92,19,8,4,4,0
201,"Low",325,53.69,6,0,8,4,0
202,"Low",598,7.09,16,7,9,0,0
203,"Low",1612,67.9,9,1,7,5,0
204,"Low",1323,53.24,27,11,3,1,1
205,"High",996,26.34,7,0,5,3,0
206,"High",660,57.18,13,6,1,1,0
207,"Low",144,66.32,7,1,10,3,0
208,"Low",291,28.04,11,8,5,0,0
209,"Low",603,48.18,27,0,3,0,0
210,"Low",681,2.22,29,2,0,5,0
211,"High",1262,82.62,18,9,1,2,0
212,"High",196,45.13,10,3,3,0,0
213,"High",614,38.09,8,3,9,0,0
214,"Low",1744,50.34,16,0,9,4,0
215,"Low",947,45.79,18,7,2,0,0
216,"High",1147,77.47,10,2,4,3,0
217,"Low",1360,5.05,17,3,6,4,0
218,"High",264,48.84,14,7,2,0,0
219,"Low",575,15.5,19,0,8,5,0
220,"High",1114,90.87,13,11,2,3,0
221,"Low",1373,44.99,29,0,10,4,1
222,"High",1789,55.63,24,5,5,3,0
223,"Low",807,0.02,15,4,2,1,0
224,"High",1706,98.79,5,0,0,5,0
225,"High",332,37.46,17,10,1,2,0
226,"Low",143,14.49,28,9,9,0,1
227,"High",719,87.69,28,7,3,0,0
228,"Low",1012,58.1,1,1,4,4,0
229,"High",204,18.56,9,2,1,2,0
230,"Low",679,5.48,13,11,9,3,0
231,"High",570,82.19,7,9,2,2,0
232,"High",155,7.21,16,7,6,4,0
233,"High",542,18.25,27,10,9,4,1
234,"Low",260,48.5,1,3,5,1,0
235,"Low",542,16.69,24,3,7,2,0
236,"High",1815,64.89,7,1,4,1,0
237,"High",702,3.11,29,9,3,3,0
238,"High",15,45.14,5,11,7,3,0
239,"High",1789,39.21,5,7,2,2,0
240,"High",1267,78.47,28,7,5,5,1
241,"Low",740,65.88,2,1,9,2,0
242,"High",1485,70.79,4,2,5,4,0
243,"Low",1457,56,6,8,5,4,0
244,"High",1726,81.73,19,2,1,0,0
245,"Low",1001,64.95,1,1,6,3,0
246,"High",1439,81.15,22,6,8,4,0
247,"Low",148,71.67,5,2,5,2,0
248,"High",105,9.41,4,9,8,2,0
249,"Low",1545,41.93,19,4,6,1,0
250,"Low",257,91.27,15,8,1,4,0
251,"Low",801,39.21,7,7,7,2,0
252,"Low",1303,43.32,5,3,5,4,0
253,"High",883,36.84,14,5,0,4,0
254,"Low",1620,46.04,9,5,2,3,0
255,"Low",78,21.46,16,1,5,3,0
256,"Low",1020,99.95,26,6,9,0,1
257,"Low",1765,14.45,14,2,5,2,0
258,"High",1671,22.35,30,0,6,2,1
259,"Low",806,43.9,4,1,5,4,0
260,"High",696,44.13,20,3,2,3,0
261,"Low",26,53.77,4,5,9,1,0
262,"High",416,64.37,5,6,4,4,0
263,"High",588,40.23,17,5,8,5,0
264,"Low",752,21.82,29,0,4,4,0
265,"Low",445,98.79,23,2,10,4,0
266,"Low",215,4.04,8,4,8,0,0
267,"High",1093,3.18,28,9,4,0,0
268,"High",415,68.11,5,1,4,5,0
269,"High",1542,62.77,11,11,0,5,0
270,"Low",1412,43.3,15,3,9,4,0
271,"Low",167,78.45,18,11,3,2,0
272,"High",1094,25.99,14,3,0,2,0
273,"High",1640,9.99,25,5,4,2,0
274,"High",31,2.54,3,0,8,3,0
275,"Low",321,43.83,10,10,3,2,0
276,"Low",363,29.87,17,4,4,5,0
277,"Low",518,11.73,9,0,2,3,0
278,"High",419,1.01,11,1,6,4,0
279,"High",1583,42.12,24,4,4,2,0
280,"High",280,62.34,10,5,0,5,0
281,"High",1535,26.36,4,9,9,3,0
282,"Low",1731,22.69,21,7,8,5,1
283,"Low",420,96.96,3,3,10,0,0
284,"High",275,5.97,24,10,9,1,0
285,"High",590,57.9,4,2,2,2,0
286,"High",275,88.62,13,6,2,0,0
287,"High",337,1.31,21,10,2,5,0
288,"High",575,56.96,13,9,3,1,0
289,"Low",333,80.28,10,0,2,2,0
290,"Low",54,74.62,30,7,5,0,0
291,"Low",843,98.39,20,7,1,5,0
292,"High",324,61.59,22,6,2,1,0
293,"Low",1001,96.52,16,11,10,0,0
294,"Low",1714,32.89,10,0,3,1,0
295,"High",1610,46.03,19,6,6,5,0
296,"Low",1504,46.81,21,9,0,2,1
297,"Low",1669,61.37,11,3,9,3,0
298,"Low",216,96.89,3,8,1,2,0
299,"High",556,98.64,21,1,9,0,0
300,"High",709,10.46,26,2,1,2,0
301,"Low",622,75.91,29,6,2,4,1
302,"High",1265,91.45,8,5,3,2,0
303,"High",28,73.01,7,11,1,0,0
304,"Low",1062,20.67,16,0,5,0,0
305,"Low",1587,91.74,30,3,3,2,1
306,"Low",1376,43.05,23,4,5,5,1
307,"Low",1736,69.33,18,5,1,4,0
308,"Low",659,21.55,30,5,6,0,1
309,"High",1550,64.07,10,5,6,5,0
310,"Low",78,92.29,11,8,4,0,0
311,"High",1732,31.28,17,5,1,1,0
312,"High",654,65.55,13,9,5,2,0
313,"Low",427,93.58,18,8,5,1,0
314,"High",1658,1.42,15,11,0,0,0
315,"High",722,5.58,17,9,3,3,0
316,"Low",1795,61.01,4,4,8,1,0
317,"Low",279,84.86,29,10,4,4,1
318,"Low",60,26.92,28,5,1,5,0
319,"Low",1135,76.35,21,6,4,1,0
320,"High",523,30.85,25,9,2,4,0
321,"Low",1407,91.43,8,8,7,2,0
322,"High",1690,7.61,2,6,4,3,0
323,"Low",396,28.58,23,5,1,1,0
324,"Low",1428,24.11,29,3,5,3,1
325,"Low",690,16.65,11,11,6,3,0
326,"High",148,25.99,5,4,6,2,0
327,"Low",371,4.69,10,2,9,3,0
328,"High",1796,83.98,14,8,9,4,0
329,"Low",1460,76.19,21,1,2,0,0
330,"Low",1788,8.04,2,5,0,1,0
331,"Low",1115,67.58,4,3,1,0,0
332,"High",338,61.36,22,10,5,0,0
333,"Low",1622,8.07,12,5,7,2,0
334,"Low",740,10.96,6,0,7,5,0
335,"High",706,27.81,23,9,8,1,0
336,"Low",344,98.66,14,8,8,0,0
337,"Low",915,41.6,26,7,8,1,1
338,"Low",207,25.37,14,1,9,0,0
339,"High",545,8.04,18,3,10,1,0
340,"Low",562,37.17,22,1,4,0,0
341,"High",430,61.67,13,6,10,2,0
342,"Low",1074,98.85,9,4,5,5,0
343,"Low",876,70.98,9,6,8,2,0
344,"High",803,70.78,6,2,8,1,0
345,"Low",196,69.12,19,1,0,2,0
346,"Low",1124,42.52,22,2,0,0,0
347,"High",643,61.58,27,9,7,0,0
348,"High",1607,30.47,29,2,4,4,0
349,"High",675,47.85,21,6,8,3,0
350,"High",178,76.03,26,7,4,2,0
351,"Low",1323,22.01,26,9,10,2,1
352,"Low",305,90.14,3,3,2,4,0
353,"Low",2,16.6,30,6,5,2,0
354,"High",819,84.48,24,5,4,5,0
355,"Low",1292,71.86,26,11,7,4,1
356,"High",1347,98.88,21,11,10,4,0
357,"Low",1114,7.98,28,0,4,5,0
358,"High",1142,63.68,7,7,7,2,0
359,"Low",1144,69.87,3,3,2,1,0
360,"Low",1695,15.59,28,1,8,0,1
361,"Low",1374,44.6,29,10,0,0,1
362,"High",1143,63.69,9,2,8,3,0
363,"High",733,62.63,30,5,3,4,0
364,"Low",494,41.94,19,5,0,0,0
365,"High",76,6.9,29,10,5,0,0
366,"High",1591,46.81,11,6,2,3,0
367,"Low",373,7.39,4,4,1,3,0
368,"Low",561,14.63,18,3,1,3,0
369,"High",1365,71.22,24,10,2,4,0
370,"Low",1651,71.46,4,4,2,2,0
371,"Low",739,42.22,21,9,10,3,1
372,"Low",1789,95.37,25,2,5,2,1
373,"High",1180,38.82,9,8,7,4,0
374,"Low",530,88.87,14,1,0,0,0
375,"Low",237,20.64,13,11,2,1,0
376,"Low",819,84.49,6,9,10,5,0
377,"Low",844,73.98,5,0,3,5,0
378,"Low",336,12.66,17,9,0,2,0
379,"High",1225,69.01,5,10,10,3,0
380,"High",1726,77.17,29,4,3,2,1
381,"High",17,71.83,5,3,2,5,0
382,"Low",339,65.82,4,2,10,4,0
383,"Low",719,81.56,30,3,2,0,1
384,"Low",445,32.1,12,10,7,1,0
385,"Low",124,60.44,5,2,5,5,0
386,"Low",1096,87.38,1,1,4,1,0
387,"Low",734,21.84,1,11,2,3,0
388,"Low",180,12.92,28,10,2,2,1
389,"Low",259,96.15,18,2,10,4,0
390,"High",303,63.51,3,0,9,4,0
391,"Low",1064,56.59,21,3,7,1,0
392,"High",82,85.91,18,0,2,3,0
393,"High",175,33.45,10,0,3,5,0
394,"Low",1353,13.93,11,0,5,5,0
395,"Low",902,54.66,19,1,0,0,0
396,"High",951,20.29,28,5,6,2,0
397,"Low",989,4.53,10,9,2,2,0
398,"High",484,45.12,4,10,8,0,0
399,"High",1724,89.93,6,4,5,1,0
400,"Low",1575,58.86,4,7,2,5,0
401,"Low",204,70.36,17,3,8,2,0
402,"High",144,1.2,17,10,7,1,0
403,"Low",344,98.26,18,6,0,1,0
404,"High",591,74.8,25,9,7,1,0
405,"High",1474,4.57,15,5,2,3,0
406,"High",394,79.73,12,5,8,4,0
407,"Low",847,48.28,11,5,3,0,0
408,"High",1641,21.34,19,0,3,4,0
409,"High",615,12.91,26,8,0,0,0
410,"Low",444,70.81,11,11,6,3,0
411,"High",955,76.73,7,11,0,5,0
412,"High",1393,4,22,3,3,4,0
413,"High",483,32.31,11,6,8,5,0
414,"High",842,62.3,25,1,6,2,0
415,"Low",1438,15.65,18,5,0,0,0
416,"Low",1114,67.34,2,2,7,1,0
417,"High",1196,32.57,14,1,4,4,0
418,"High",311,88.2,29,2,2,2,0
419,"Low",1711,31.07,5,3,6,4,0
420,"High",608,13.09,5,10,2,0,0
421,"Low",1555,78.36,25,5,8,4,1
422,"High",43,60.14,26,3,8,2,0
423,"Low",74,85.98,16,9,7,1,0
424,"Low",1665,92.71,1,0,7,2,0
425,"Low",1756,4.36,22,10,5,4,1
426,"High",1591,70.74,6,7,0,2,0
427,"High",851,61.85,2,9,5,2,0
428,"High",491,20.57,9,9,7,0,0
429,"Low",734,43.23,26,2,9,3,1
430,"High",1637,84.17,18,2,8,2,0
431,"High",1301,47.5,22,1,8,1,0
432,"Low",1520,63.87,22,3,0,1,0
433,"High",1433,83.67,26,5,8,3,1
434,"High",1249,13.14,17,1,6,1,0
435,"Low",315,78,24,10,8,1,1
436,"High",1444,56.3,27,8,6,1,1
437,"High",1212,61.38,13,5,5,2,0
438,"Low",651,12.15,3,0,5,1,0
439,"High",1288,71.58,11,1,5,3,0
440,"High",113,20.82,10,2,4,5,0
441,"Low",274,91.11,8,7,0,2,0
442,"High",1236,68.01,20,3,5,3,0
443,"Low",230,29.31,30,9,10,4,1
444,"Low",414,89.74,16,4,1,4,0
445,"Low",99,75.08,12,8,6,5,0
446,"High",1482,9.48,24,8,2,5,0
447,"High",899,81.66,26,2,5,2,0
448,"Low",542,55.65,27,0,3,3,0
449,"Low",564,26.59,3,5,5,2,0
450,"High",352,83.38,25,2,7,5,0
451,"High",1052,12.88,22,5,8,5,0
452,"High",1655,42.18,26,8,5,4,1
453,"Low",1209,61.12,3,4,8,2,0
454,"High",560,10.82,21,11,2,5,0
455,"High",1506,38.48,2,3,0,4,0
456,"High",949,83.09,22,3,7,1,0
457,"High",1578,25.02,24,10,6,3,1
458,"Low",864,26.75,8,7,0,3,0
459,"High",1820,90.83,10,7,5,5,0
460,"High",947,67.56,5,3,10,2,0
461,"Low",694,94.82,2,7,7,1,0
462,"Low",371,87.27,23,5,5,0,0
463,"Low",425,30.73,19,7,6,5,0
464,"High",982,30.26,3,10,3,2,0
465,"Low",1449,64.12,5,6,6,0,0
466,"Low",900,46.42,17,3,4,1,0
467,"High",683,65.21,27,6,4,1,0
468,"Low",393,71.69,7,2,7,5,0
469,"Low",1816,25.48,1,7,1,3,0
470,"Low",196,31.47,1,4,5,1,0
471,"Low",17,90.25,20,5,5,2,0
472,"High",1785,59.64,9,10,0,3,0
473,"Low",781,63.07,9,9,1,1,0
474,"High",1202,14.78,26,4,2,0,0
475,"High",650,92.98,14,6,10,2,0
476,"Low",1363,53.11,3,9,10,3,0
477,"High",12,57.69,25,6,0,0,0
478,"Low",999,29.96,22,9,4,5,1
479,"High",125,1.3,8,9,4,5,0
480,"High",509,67.28,23,6,3,1,0
481,"High",976,88.44,11,1,4,1,0
482,"Low",1733,95.9,27,9,10,2,1
483,"Low",272,63.77,6,8,5,3,0
484,"High",1408,36.85,12,5,8,5,0
485,"High",560,44.05,16,2,0,3,0
486,"Low",51,90.74,15,7,2,1,0
487,"Low",632,54.31,11,1,10,2,0
488,"High",882,76.43,10,5,7,4,0
489,"Low",633,41.46,17,0,2,0,0
490,"High",395,70.4,25,1,3,0,0
491,"High",1569,10.45,3,5,5,0,0
492,"High",7,43.52,8,2,9,5,0
493,"High",584,54.39,23,8,2,1,0
494,"High",1303,50.95,30,10,2,4,1
495,"Low",1592,24.35,28,7,10,4,1
496,"Low",1315,80.44,17,6,9,2,0
497,"Low",695,67.29,29,11,9,5,1
498,"High",150,15.85,2,4,6,5,0
499,"High",371,30.42,4,3,1,0,0
500,"High",605,74.28,29,0,3,2,0
501,"Low",261,78,7,6,6,4,0
502,"High",1548,31.41,6,1,1,0,0
503,"High",565,44.36,25,4,5,3,0
504,"High",594,27.53,25,7,5,5,0
505,"High",74,83.06,13,0,5,2,0
506,"High",218,94.67,26,10,8,3,0
507,"High",1356,89.12,17,9,4,1,0
508,"High",23,34.67,14,0,4,0,0
509,"High",444,62.58,21,7,0,0,0
510,"Low",1341,48.44,14,2,0,5,0
511,"Low",869,97.93,6,7,5,1,0
512,"Low",1270,32.26,30,3,7,0,1
513,"Low",824,40.42,4,8,7,3,0
514,"Low",415,93.38,22,6,5,3,0
515,"Low",1186,91.64,9,4,10,0,0
516,"Low",433,78.99,24,5,10,5,1
517,"Low",468,88.82,11,5,6,1,0
518,"Low",1703,42.48,4,6,10,0,0
519,"Low",176,48.9,13,3,3,3,0
520,"High",963,4.46,9,7,10,1,0
521,"High",1191,77.18,25,4,6,4,0
522,"High",967,44.14,25,8,7,3,0
523,"High",1189,95.78,3,7,10,1,0
524,"High",1735,89.04,23,0,1,1,0
525,"Low",2,90.51,30,8,9,1,1
526,"High",115,52.91,5,4,0,5,0
527,"Low",793,23.32,17,5,10,3,0
528,"High",484,27.69,5,9,5,2,0
529,"Low",1475,44.72,7,6,9,3,0
530,"Low",516,43.65,17,1,9,4,0
531,"Low",1600,88.53,3,8,5,2,0
532,"Low",635,34,6,9,10,3,0
533,"Low",644,25.19,4,5,5,3,0
534,"Low",414,46.51,7,1,0,2,0
535,"High",588,64.05,21,7,0,3,0
536,"High",1211,44.54,13,9,1,3,0
537,"Low",717,92.11,16,9,1,4,0
538,"Low",869,18.74,28,4,7,2,1
539,"High",1381,33.82,18,0,9,2,0
540,"High",651,62.08,27,8,5,0,0
541,"High",585,10.48,22,5,6,1,0
542,"High",831,62.75,27,7,1,5,0
543,"High",1101,80.83,2,8,10,0,0
544,"Low",228,42.91,15,0,2,1,0
545,"High",1436,59.4,13,10,10,2,0
546,"High",1783,95.45,27,5,5,3,1
547,"Low",372,44.68,3,10,4,0,0
548,"Low",1032,71.45,12,8,4,5,0
549,"Low",141,32.81,9,5,7,1,0
550,"High",1663,84.3,5,3,10,1,0
551,"High",261,12.43,30,11,9,3,1
552,"Low",702,74.13,22,2,6,2,0
553,"High",608,29.1,1,3,2,2,0
554,"High",1774,44.44,6,11,2,3,0
555,"Low",629,47.79,2,2,4,5,0
556,"High",551,62.88,12,2,9,1,0
557,"Low",234,92.93,13,1,9,1,0
558,"High",189,18.35,14,6,6,1,0
559,"Low",710,8.9,8,0,3,0,0
560,"Low",998,26.89,21,9,8,3,1
561,"High",350,69.6,11,9,9,0,0
562,"High",1530,29.2,5,0,0,4,0
563,"High",466,78.77,24,0,5,3,0
564,"High",1384,18.05,3,9,3,4,0
565,"High",1707,7.3,4,6,0,5,0
566,"Low",171,15.58,29,0,1,1,0
567,"Low",379,48.79,22,2,0,3,0
568,"High",567,8.4,11,5,0,4,0
569,"Low",1791,6.04,25,8,9,4,1
570,"High",103,17.19,2,1,1,3,0
571,"High",208,2.87,1,4,10,3,0
572,"High",130,54.48,6,5,10,0,0
573,"Low",1559,6.84,27,9,2,4,1
574,"High",1559,25.55,24,2,7,4,0
575,"High",855,67.95,11,1,4,4,0
576,"Low",52,37.5,26,5,6,2,0
577,"Low",1038,22.52,2,2,4,3,0
578,"Low",992,99.79,29,6,0,5,1
579,"Low",1200,0.26,8,10,10,2,0
580,"Low",1630,27.06,23,7,7,3,1
581,"Low",1469,24.12,29,3,0,0,1
582,"High",1567,46.33,12,9,2,2,0
583,"High",1470,50.28,24,2,9,0,0
584,"Low",928,20.24,4,10,4,1,0
585,"Low",855,11.72,2,6,3,3,0
586,"High",455,25.85,23,5,10,1,0
587,"Low",1490,46.09,10,5,6,1,0
588,"Low",1016,46.89,27,5,10,3,1
589,"Low",1776,51.43,29,6,7,1,1
590,"Low",1393,99.11,9,0,10,2,0
591,"High",1487,94.07,22,0,7,3,0
592,"High",1675,98.05,25,5,8,4,1
593,"High",121,18.18,11,1,2,1,0
594,"High",1436,7.58,11,8,5,4,0
595,"High",1048,13.17,17,4,10,1,0
596,"High",1090,82.01,1,3,3,0,0
597,"Low",1581,51.9,16,8,7,1,0
598,"Low",591,50.13,11,2,5,5,0
599,"Low",1385,18.98,11,1,3,5,0
600,"Low",1622,80.21,29,7,5,0,1
601,"Low",700,54.73,15,7,7,4,0
602,"High",1294,82.64,28,8,5,1,1
603,"High",1393,0.89,11,10,10,2,0
604,"Low",932,96.42,29,1,8,3,1
605,"Low",1104,94.89,3,9,4,1,0
606,"Low",620,65.66,4,9,1,1,0
607,"Low",1113,1.34,16,10,9,4,0
608,"Low",105,64.34,11,8,5,4,0
609,"High",1439,44.63,24,9,0,1,0
610,"Low",1691,78.43,28,7,7,4,1
611,"High",265,75.61,20,11,7,2,0
612,"High",672,25.16,12,3,5,1,0
613,"High",1787,81.88,13,9,9,3,0
614,"Low",1126,74.6,1,1,7,3,0
615,"High",1472,39.14,30,7,1,5,1
616,"Low",1753,18.67,14,3,10,2,0
617,"High",1238,28.38,13,7,6,5,0
618,"High",1319,85.48,3,7,2,5,0
619,"High",343,61.53,2,4,5,4,0
620,"High",707,30.72,30,4,4,1,0
621,"Low",1481,94.83,16,3,2,3,0
622,"High",629,29,25,5,10,2,0
623,"High",1671,9.4,13,3,1,3,0
624,"Low",579,36.94,28,5,0,3,0
625,"Low",1801,87.19,22,0,3,3,1
626,"Low",839,56.66,5,2,5,1,0
627,"High",783,41.36,26,10,10,4,1
628,"High",1163,76.81,3,4,6,2,0
629,"High",679,18.91,9,8,10,3,0
630,"High",1109,22.1,23,5,10,3,0
631,"High",800,57.11,15,6,6,5,0
632,"High",303,68.34,28,11,2,2,0
633,"High",1226,89.53,29,1,9,0,1
634,"High",751,14.86,1,8,5,3,0
635,"High",414,51.56,14,7,1,4,0
